,laxen,laxmean,laxstd,layen,laymean,laystd,lazen,lazmean,lazstd,lgxen,lgxmean,lgxstd,lgyen,lgymean,lgystd,lgzen,lgzmean,lgzstd,raxen,raxmean,raxstd,rayen,raymean,raystd,razen,razmean,razstd,rgxen,rgxmean,rgxstd,rgyen,rgymean,rgystd,rgzen,rgzmean,rgzstd,xcorr,ycorr,zcorr
10,-1.2566101125145392,0.54641882636978256,-0.96789937941374204,-1.0487672100296224,0.35614578668942493,-0.9745838544903932,-0.091900897006084989,1.2473546722090314,-0.88671134136632479,-1.0379297175148023,-0.073292284867598576,-1.0279228409812373,-0.8868705636025267,-0.15059278830152031,-0.97057404342360798,-0.82839106657240413,0.15348488703894275,-0.85463735389647966,-1.0576310869928098,-0.30980961188865358,-1.0480260508471217,-1.2699617700305752,-0.56212742433864826,-0.96368312061021832,-0.48891974823808859,1.1093972491865236,-1.0533059510662788,-0.96691668540482256,-0.087045449653898696,-1.0159143688572896,-0.94356913415512145,0.029529713533613007,-0.95696069221252311,-0.94711652959177117,-0.038328733992555021,-0.90471228228526201,0.33741077962974397,0.36078220059338806,1.8965640676655156
11,-1.2808410787435132,0.54924104033888776,-0.98779430629541365,-1.0294288957909183,0.33769047245411027,-0.97595395180792199,-0.11125855811195469,1.2443417787644206,-0.89400374357066703,-1.0341129511770379,-0.095570791567888294,-1.0295343135811255,-0.88923369951014686,-0.18002710985047571,-0.97083266427943848,-0.84587537659188861,0.016712389831520735,-0.88015358750032446,-1.0903686232831793,-0.33299593731612315,-1.0695098844106068,-1.2415403045689648,-0.57163798551069489,-0.93791621268751313,-0.49737020594915271,1.1160460482041163,-1.0573842820319372,-0.96992512669992481,-0.087105351612939363,-1.0227865329317123,-0.98370608306359186,0.096779698001891984,-0.97926635524410877,-0.96882483291581545,0.0036776063910555889,-0.91423083087257029,0.34709607797038627,0.36867978511200761,1.9004356956674036
12,-1.2814549582920338,0.54925948618182308,-0.98727769952122812,-1.0335310503703636,0.30874224315119941,-0.97899446767588327,-0.11119975114554259,1.2391121450652258,-0.88977893318757773,-1.0334067066712855,-0.10713769449820323,-1.0312718179425606,-0.87789058779937157,-0.14743104532183715,-0.95876092805767954,-0.81925754956932695,0.058620215218689715,-0.86853168228611144,-1.1534699957181795,-0.34485422433308266,-1.1486592512005318,-1.2475459957923003,-0.58631047429968131,-0.95472149588443378,-0.51229497035061322,1.1171917942489236,-1.0650406886002934,-0.96723245580037098,-0.072429371647974861,-1.0135846278529983,-1.060506698137704,0.064160581603816491,-1.0470272091926578,-0.93988079164069549,0.031681833313462658,-0.89783887163960219,0.35109090475056476,0.38123650253040531,1.8949814033161696
13,-1.2598125140609453,0.54527518410779219,-0.97288570619147163,-1.0321766971741508,0.28812726448409265,-0.9997368399233334,-0.093637016891281039,1.2337888462848514,-0.87424696044286943,-1.034745819892197,-0.04641145411404974,-1.0300359179797145,-0.89319648514403516,-0.11671697066205762,-0.97449738694376853,-0.88803232728162207,0.04390998009838859,-0.89486175739932572,-0.85127792119699353,-0.44073281326288938,-0.6581702161489259,-0.30934247621170485,-0.70354100406960351,0.043202852100229172,-0.14155433766641445,1.1001965612509512,-0.57923783469506973,0.1052303281934877,-1.2658561016152723,0.53563702623407916,-0.78532197534912962,0.35819964296752554,-0.7670248197675108,-0.65550547406473303,0.35373044292114397,-0.63831387774770831,0.38087841071707501,0.45303291102594501,1.8681150787883058
14,-1.2579823576311413,0.54243452429575167,-0.97033937218585997,-1.0238445942435561,0.29179214958046717,-0.98263918792169547,-0.090062656962051124,1.2331644124103207,-0.870748950422083,-1.0321675114300402,-0.028694542935574371,-1.0301594429835768,-0.8951991185349425,-0.14231203287854055,-0.97454731448061205,-0.85421992471566721,-0.010354442789833336,-0.88247701700042402,-0.48002421709434939,-0.33046520533079643,0.25079257255198817,-0.13681355429089914,-1.0243606147057107,0.3344816838924573,0.074547198942018778,0.91397810939267865,-0.26844575542959936,0.26541682357179086,-1.046555029567374,0.69191631606909942,-0.18948834055429159,-0.49952505209904957,0.031619271541036824,-0.43021800271861488,0.0056779083140846651,-0.23983945924326436,0.34160255914095061,0.64003788709084475,1.6507574242532845
15,-1.2720984845625691,0.54498005062082688,-0.97815316796855356,-1.0418123894774574,0.29951458603354209,-0.99614766835429425,-0.11070371911799508,1.2365675770265132,-0.88933749762681102,-1.0384349835504811,-0.02405149035087048,-1.0344666917795082,-0.89200516604292834,-0.1384727735460681,-0.97585670327807073,-0.90086870222554927,-0.037355896588430512,-0.8893357668378713,-0.41492551685566048,-0.082646288443850094,0.1053913970006064,-0.25709123852123239,-1.09106732561401,-0.20867776696878843,-0.27823508319337914,0.83419252118156462,-0.55623704589750278,-0.40706275749336512,0.77164913319412665,-0.51940061049583497,-0.18865060085184288,-0.33316037364146417,0.036684368391878545,-0.60094707026560767,-0.52040149744256248,-0.44526159567006429,0.25994686694631941,0.67740210345638885,1.5623395531672379
16,-1.2830241944847538,0.5479682771763501,-0.98838066077845121,-1.0523723133202034,0.30416113678073126,-1.0085036402974179,-0.11600109774079172,1.2382535484877462,-0.89599055645674763,-1.0420573032971232,-0.032115739576935129,-1.0375087494859121,-0.89167857476221835,-0.15909938250876318,-0.97547722661408676,-0.89118645027439658,0.0048134440897660462,-0.89563697218508154,-0.855010184689597,-0.16953475327340092,-0.79438312690767843,-0.61277217159033992,-0.81821546678805068,-0.36574488778465825,-0.19345151888805956,1.0076688882384974,-0.70235003643607397,-0.67473720436044848,0.68850521404567466,-0.71870110425021971,-0.87821413700423545,0.54335264507730641,-0.84089881584532489,-0.92082037475486767,-0.33237311667782926,-0.84129177277771505,0.29152441032309229,0.51684901284189733,1.7662131958875416
17,-1.2828722389500788,0.54938860708237036,-0.98804547401002063,-1.026358143841869,0.30621172725132179,-0.98493383627433262,-0.11310887171834845,1.2373949519102665,-0.89430459296956,-1.028470717560668,-0.018797509794495026,-1.0254246991044269,-0.90421149692840741,-0.17234859118553081,-0.97498291219308042,-0.85694447237794635,-0.0042742122734422041,-0.88506070383263924,-0.69835079644401976,-0.1734393111936193,-0.70284537769983202,-1.0769442658162858,-0.64790505110503049,-0.80944845983763314,-0.30164617948028949,1.0590538623692409,-0.88687227600639773,-0.80192455833517173,0.1159023875758962,-0.92205576683334423,-0.75235723326446913,-0.22344805923648342,-0.75057357564306348,-0.87280303090341571,-0.20035318975791022,-0.84399849023507234,0.29436906271253321,0.41720060473364456,1.8250194835771587
18,-1.277040200807207,0.55673005257063102,-0.9722513439750633,-1.0060840791020185,0.31886430675071009,-0.9598219946402321,-0.10043632501199495,1.2410947226168609,-0.88635431165957645,-0.99312408604811608,0.007431664455937472,-0.99274935007177956,-0.89309880308487311,-0.14238731247329492,-0.95400168562001153,-0.80253141276180651,0.040248766024002534,-0.83576995692590539,-0.58496472308273828,0.059484440293975475,-0.72978974700317378,-1.1452671302029913,-0.60848518586312694,-0.88399494860230787,-0.32909170520644837,0.98312214721793267,-0.87586847416302083,-0.8377907050845399,-0.049546823294438366,-0.94114369630394201,-0.72201271177728132,-0.28782411274457953,-0.73884803118379383,-0.8315291339505817,-0.074334168607078394,-0.83418420398725657,0.22398171921617427,0.39217446672942441,1.7409965835166274
19,-1.2441976939747761,0.55483013074829213,-0.94378166257141061,-0.98735527656756328,0.33151688625009834,-0.92973870791525304,-0.083902513535113493,1.2423592012127855,-0.86925973734735718,-0.97236846228542451,-0.029957127410362269,-0.97542428523244151,-0.87254900420858417,-0.11716864823058379,-0.95188405090907158,-0.78753828637657941,0.067184840999842815,-0.84260275603901613,-0.61620340180960576,0.08245384583698849,-0.74806391576184161,-1.1911710229985639,-0.59167157597258024,-0.88090611196877877,-0.34648215077470113,0.97189036402111129,-0.83436715024078112,-0.7926526759237682,-0.041160549028744359,-0.88742157606614758,-0.71851397251424265,0.46191262649312459,-0.70038982134694261,-0.85384885342644723,-0.0023232993780316407,-0.84382277714747611,0.21452308764417971,0.38065612415151234,1.7292846588706439
20,-1.2459555163327793,0.54592078861052862,-0.94223672636794931,-0.97481887731353922,0.33121147915873383,-0.91196295530508209,-0.084390463196045595,1.2400175741832955,-0.86564997167132363,-0.99605488383942686,-0.053986960962777136,-0.99531116512061457,-0.88398331176471123,-0.11415746444040932,-0.96839776092017138,-0.88335468343919965,0.010501401669615815,-0.87486669003317241,-0.69524782200647672,-0.22152321891482701,-0.51606395234797953,-1.1556428482954009,-0.58302410237635627,-0.86149776493704955,-0.23234356658545197,1.0689489418471207,-0.75360095887792145,-0.75380573940086226,0.0071803319170775049,-0.84943726214663562,-0.722550699682035,0.42214460683159422,-0.69369746994703196,-0.83114636708722756,0.0056779083140846651,-0.8123820406402481,0.30760623865213771,0.37585377756537847,1.8397995048379014
21,-1.2354754846428804,0.54420532521754317,-0.94422939147812313,-0.98664757936166225,0.32148208181954901,-0.93414833514477735,-0.088099650615648201,1.2402361260393813,-0.8712300138310739,-1.0257114271996011,-0.065513135361647323,-1.0233893877667479,-0.89318824199797742,-0.11152267862400667,-0.97827067852106142,-0.92615877809767866,0.025930803840242773,-0.89336735287203883,-0.98975745232797319,-0.479754290255689,-0.91709385795191045,-1.1308093193554289,-0.58398677698015855,-0.84780202864379206,-0.27998961115638793,1.1466513554313125,-0.92422004413754866,-0.76683789094760413,0.018022586503439041,-0.83798064233796332,-0.87577191093959028,-0.026943029833980229,-0.855461135225979,-0.83332671877084108,0.033682135236491738,-0.84679606739435942,0.39294756050773855,0.37750780490549884,1.9308908859806335
