Time,Locations
2010-07-28 10:55:23.820000,00:09:42:00:19:a7
2010-07-28 10:55:24.460000,00:09:42:00:19:a7
2010-07-28 10:55:25.100000,00:09:42:00:19:a7
2010-07-28 10:55:25.740000,00:09:42:00:19:a7
2010-07-28 10:55:26.380000,00:09:42:00:19:a7
2010-07-28 10:55:27.020000,00:09:42:00:19:a7
2010-07-28 10:55:27.660000,00:09:42:00:19:a7
2010-07-28 10:55:28.300000,00:09:42:00:19:a7
2010-07-28 10:55:28.940000,00:09:42:00:19:a7
2010-07-28 10:55:29.580000,00:09:42:00:19:a7
2010-07-28 10:55:30.220000,00:09:42:00:19:a7
2010-07-28 10:55:30.860000,00:09:42:00:19:a7
2010-07-28 10:55:31.500000,00:09:42:00:19:a7
2010-07-28 10:55:32.140000,00:09:42:00:19:a7
2010-07-28 10:55:32.780000,00:09:42:00:19:a7
2010-07-28 10:55:33.420000,00:09:42:00:19:a7
2010-07-28 10:55:34.060000,00:09:42:00:19:a7
2010-07-28 10:55:34.700000,00:09:42:00:19:a7
2010-07-28 10:55:35.340000,00:09:42:00:19:a7
2010-07-28 10:55:35.980000,00:09:42:00:19:a7
2010-07-28 10:55:36.620000,00:09:42:00:19:a7
2010-07-28 10:55:37.260000,00:09:42:00:19:a7
2010-07-28 10:55:37.900000,00:09:42:00:19:a7
2010-07-28 10:55:38.540000,00:09:42:00:19:a7
2010-07-28 10:55:39.180000,00:09:42:00:19:a7
2010-07-28 10:55:39.820000,00:09:42:00:19:a7
2010-07-28 10:55:40.460000,00:09:42:00:19:a7
2010-07-28 10:55:41.100000,00:09:42:00:19:a7
2010-07-28 10:55:41.740000,00:09:42:00:19:a7
2010-07-28 10:55:42.380000,00:09:42:00:19:a7
2010-07-28 10:55:43.020000,00:09:42:00:19:a7
2010-07-28 10:55:43.660000,00:09:42:00:19:a7
2010-07-28 10:55:44.300000,00:09:42:00:19:a7
2010-07-28 10:55:44.940000,00:09:42:00:19:a7
2010-07-28 10:55:45.580000,00:09:42:00:19:a7
2010-07-28 10:55:46.220000,00:09:42:00:19:a7
2010-07-28 10:55:46.860000,00:09:42:00:19:a7
2010-07-28 10:55:47.500000,00:09:42:00:19:a7
2010-07-28 10:55:48.140000,00:09:42:00:19:a7
2010-07-28 10:55:48.780000,00:09:42:00:19:a7
2010-07-28 10:55:49.420000,00:09:42:00:19:a7
2010-07-28 10:55:50.060000,00:09:42:00:19:a7
2010-07-28 10:55:50.700000,00:09:42:00:19:a7
2010-07-28 10:55:51.340000,00:09:42:00:19:a7
2010-07-28 10:55:51.980000,00:09:42:00:19:a7
2010-07-28 10:55:52.620000,00:09:42:00:19:a7
2010-07-28 10:55:53.260000,00:09:42:00:19:a7
2010-07-28 10:55:53.900000,00:09:42:00:19:a7
2010-07-28 10:55:54.540000,00:09:42:00:19:a7
2010-07-28 10:55:55.180000,00:09:42:00:19:a7
2010-07-28 10:55:55.820000,00:09:42:00:19:a7
2010-07-28 10:55:56.460000,00:09:42:00:19:a7
2010-07-28 10:55:57.100000,00:09:42:00:19:a7
2010-07-28 10:55:57.740000,00:09:42:00:19:a7
2010-07-28 10:55:58.380000,00:09:42:00:19:a7
2010-07-28 10:55:59.020000,00:09:42:00:19:a7
2010-07-28 10:55:59.660000,00:09:42:00:19:a7
2010-07-28 10:56:00.300000,00:09:42:00:19:a7
2010-07-28 10:56:00.940000,00:09:42:00:19:a7
2010-07-28 10:56:01.580000,00:09:42:00:19:a7
2010-07-28 10:56:02.220000,00:09:42:00:19:a7
2010-07-28 10:56:02.860000,00:09:42:00:19:a7
2010-07-28 10:56:03.500000,00:09:42:00:19:a7
2010-07-28 10:56:04.140000,00:09:42:00:19:a7
2010-07-28 10:56:04.780000,00:09:42:00:19:a7
2010-07-28 10:56:05.420000,00:09:42:00:19:a7
2010-07-28 10:56:06.060000,00:09:42:00:19:a7
2010-07-28 10:56:06.700000,00:09:42:00:19:a7
2010-07-28 10:56:07.340000,00:09:42:00:19:a7
2010-07-28 10:56:07.980000,00:09:42:00:19:a7
2010-07-28 10:56:08.620000,00:09:42:00:19:a7
2010-07-28 10:56:09.260000,00:09:42:00:19:a7
2010-07-28 10:56:09.900000,00:09:42:00:19:a7
2010-07-28 10:56:10.540000,00:09:42:00:19:a7
2010-07-28 10:56:11.180000,00:09:42:00:19:a7
2010-07-28 10:56:11.820000,00:09:42:00:19:a7
2010-07-28 10:56:12.460000,00:09:42:00:19:a7
2010-07-28 10:56:13.100000,00:09:42:00:19:a7
2010-07-28 10:56:13.740000,00:09:42:00:19:a7
2010-07-28 10:56:14.380000,00:09:42:00:19:a7
2010-07-28 10:56:15.020000,00:09:42:00:19:a7
2010-07-28 10:56:15.660000,00:09:42:00:19:a7
2010-07-28 10:56:16.300000,00:09:42:00:19:a7
2010-07-28 10:56:16.940000,00:09:42:00:19:a7
2010-07-28 10:56:17.580000,00:09:42:00:19:a7
2010-07-28 10:56:18.220000,00:09:42:00:19:a7
2010-07-28 10:56:18.860000,00:09:42:00:19:a7
2010-07-28 10:56:19.500000,00:09:42:00:19:a7
2010-07-28 10:56:20.140000,00:09:42:00:19:a7
2010-07-28 10:56:20.780000,00:09:42:00:19:a7
2010-07-28 10:56:21.420000,00:09:42:00:19:a7
2010-07-28 10:56:22.060000,00:09:42:00:19:a7
2010-07-28 10:56:22.700000,00:09:42:00:19:a7
2010-07-28 10:56:23.340000,00:09:42:00:19:a7
2010-07-28 10:56:23.980000,00:09:42:00:19:a7
2010-07-28 10:56:24.620000,00:09:42:00:19:a7
2010-07-28 10:56:25.260000,00:09:42:00:19:a7
2010-07-28 10:56:25.900000,00:09:42:00:19:a7
2010-07-28 10:56:26.540000,00:09:42:00:19:a7
2010-07-28 10:56:27.180000,00:09:42:00:19:a7
2010-07-28 10:56:27.820000,00:09:42:00:19:a7
2010-07-28 10:56:28.460000,00:09:42:00:19:a7
2010-07-28 10:56:29.100000,00:09:42:00:19:a7
2010-07-28 10:56:29.740000,00:09:42:00:19:a7
2010-07-28 10:56:30.380000,00:09:42:00:19:a7
2010-07-28 10:56:31.020000,00:09:42:00:19:a7
2010-07-28 10:56:31.660000,00:09:42:00:19:a7
2010-07-28 10:56:32.300000,00:09:42:00:19:a7
2010-07-28 10:56:32.940000,00:09:42:00:19:a7
2010-07-28 10:56:33.580000,00:09:42:00:19:a7
2010-07-28 10:56:34.220000,00:09:42:00:19:a7
2010-07-28 10:56:34.860000,00:09:42:00:19:a7
2010-07-28 10:56:35.500000,00:09:42:00:19:a7
2010-07-28 10:56:36.140000,00:09:42:00:19:a7
2010-07-28 10:56:36.780000,00:09:42:00:19:a7
2010-07-28 10:56:37.420000,00:09:42:00:19:a7
2010-07-28 10:56:38.060000,00:09:42:00:19:a7
2010-07-28 10:56:38.700000,00:09:42:00:19:a7
2010-07-28 10:56:39.340000,00:09:42:00:19:a7
2010-07-28 10:56:39.980000,00:09:42:00:19:a7
2010-07-28 10:56:40.620000,00:09:42:00:19:a7
2010-07-28 10:56:41.260000,00:09:42:00:19:a7
2010-07-28 10:56:41.900000,00:09:42:00:19:a7
2010-07-28 10:56:42.540000,00:09:42:00:19:a7
2010-07-28 10:56:43.180000,00:09:42:00:19:a7
2010-07-28 10:56:43.820000,00:09:42:00:19:a7
2010-07-28 10:56:44.460000,00:09:42:00:19:a7
2010-07-28 10:56:45.100000,00:09:42:00:19:a7
2010-07-28 10:56:45.740000,00:09:42:00:19:a7
2010-07-28 10:56:46.380000,00:09:42:00:19:a7
2010-07-28 10:56:47.020000,00:09:42:00:19:a7
2010-07-28 10:56:47.660000,00:09:42:00:19:a7
2010-07-28 10:56:48.300000,00:09:42:00:19:a7
2010-07-28 10:56:48.940000,00:09:42:00:19:a7
2010-07-28 10:56:49.580000,00:09:42:00:19:a7
2010-07-28 10:56:50.220000,00:09:42:00:19:a7
2010-07-28 10:56:50.860000,00:09:42:00:19:a7
2010-07-28 10:56:51.500000,00:09:42:00:19:a7
2010-07-28 10:56:52.140000,00:09:42:00:19:a7
2010-07-28 10:56:52.780000,00:09:42:00:19:a7
2010-07-28 10:56:53.420000,00:09:42:00:19:a7
2010-07-28 10:56:54.060000,00:09:42:00:19:a7
2010-07-28 10:56:54.700000,00:09:42:00:19:a7
2010-07-28 10:56:55.340000,00:09:42:00:19:a7
2010-07-28 10:56:55.980000,00:09:42:00:19:a7
2010-07-28 10:56:56.620000,00:09:42:00:19:a7
2010-07-28 10:56:57.260000,00:09:42:00:19:a7
2010-07-28 10:56:57.900000,00:09:42:00:19:a7
2010-07-28 10:56:58.540000,00:09:42:00:19:a7
2010-07-28 10:56:59.180000,00:09:42:00:19:a7
2010-07-28 10:56:59.820000,00:09:42:00:19:a7
2010-07-28 10:57:00.460000,00:09:42:00:19:a7
2010-07-28 10:57:01.100000,00:09:42:00:19:a7
2010-07-28 10:57:01.740000,00:09:42:00:19:a7
2010-07-28 10:57:02.380000,00:09:42:00:19:a7
2010-07-28 10:57:03.020000,00:09:42:00:19:a7
2010-07-28 10:57:03.660000,00:09:42:00:19:a7
2010-07-28 10:57:04.300000,00:09:42:00:19:a7
2010-07-28 10:57:04.940000,00:09:42:00:19:a7
2010-07-28 10:57:05.580000,00:09:42:00:19:a7
2010-07-28 10:57:06.220000,00:09:42:00:19:a7
2010-07-28 10:57:06.860000,00:09:42:00:19:a7
2010-07-28 10:57:07.500000,00:09:42:00:19:a7
2010-07-28 10:57:08.140000,00:09:42:00:19:a7
2010-07-28 10:57:08.780000,00:09:42:00:19:a7
2010-07-28 10:57:09.420000,00:09:42:00:19:a7
2010-07-28 10:57:10.060000,00:09:42:00:19:a7
2010-07-28 10:57:10.700000,00:09:42:00:19:a7
2010-07-28 10:57:11.340000,00:09:42:00:19:a7
2010-07-28 10:57:11.980000,00:09:42:00:19:a7
2010-07-28 10:57:12.620000,00:09:42:00:19:a7
2010-07-28 10:57:13.260000,00:09:42:00:19:a7
2010-07-28 10:57:13.900000,00:09:42:00:19:a7
2010-07-28 10:57:14.540000,00:09:42:00:19:a7
2010-07-28 10:57:15.180000,00:09:42:00:19:a7
