@relation 1811dataset2-weka.filters.unsupervised.attribute.Remove-R1

@attribute ' ax' numeric
@attribute ' ay' numeric
@attribute ' az' numeric
@attribute ' gx' numeric
@attribute ' gy' numeric
@attribute ' gz' numeric
@attribute ' gesture' {Down,Idle,Left,LRollL,LRollR,Right,RollL,RollR,Up}

@data
-166,72,980,73,-224,0,Down
-171,70,968,73,-224,0,Down
-175,73,969,90,-224,0,Down
-178,67,966,40,-240,-45,Down
-195,75,965,90,-175,0,Down
-196,64,963,90,-159,-45,Down
-207,60,962,73,-142,-45,Down
-217,66,957,73,-142,0,Down
-204,73,959,57,-126,0,Down
-190,82,965,57,-126,0,Down
-178,93,975,40,-126,0,Down
-175,99,990,24,-110,0,Down
-177,94,1010,24,-93,0,Down
-186,85,1026,24,-77,0,Down
-189,87,1041,24,-77,0,Down
-190,91,1047,40,-77,45,Down
-193,102,1047,24,-93,45,Down
-172,109,1050,40,-93,90,Down
-174,111,1068,40,-93,45,Down
-175,102,1095,57,-93,45,Down
-178,93,1112,57,-110,45,Down
-171,93,1118,73,-110,90,Down
-169,96,1131,90,-110,135,Down
-163,105,1136,123,-110,135,Down
-162,105,1142,139,-110,90,Down
-142,112,1164,172,-93,135,Down
-142,106,1193,189,-93,135,Down
-160,90,1206,222,-61,181,Down
-175,81,1245,271,-61,181,Down
-186,66,1286,320,-61,181,Down
-187,46,1334,370,-61,181,Down
-210,7,1388,452,-61,226,Down
-220,-33,1406,535,-44,226,Down
-222,-35,1383,633,-28,271,Down
-231,-11,1376,732,-12,271,Down
-238,-3,1374,831,20,316,Down
-243,-11,1389,930,52,362,Down
-274,-35,1398,1045,85,362,Down
-298,-30,1391,1144,118,497,Down
-337,-9,1397,1259,101,497,Down
-343,-17,1382,1358,85,543,Down
-357,-8,1353,1490,69,588,Down
-354,13,1308,1589,69,588,Down
-334,58,1251,1671,52,678,Down
-288,114,1158,1770,69,678,Down
-247,178,1079,1820,85,769,Down
-231,232,1016,1869,101,769,Down
-222,261,920,1902,101,769,Down
-187,295,819,1918,118,859,Down
-154,342,749,1918,101,814,Down
-120,363,632,1869,85,905,Down
-45,432,510,1836,101,859,Down
2,501,428,1803,134,905,Down
24,543,365,1688,134,859,Down
51,579,317,1605,134,859,Down
78,604,284,1474,118,814,Down
96,624,269,1391,118,769,Down
102,627,260,1276,118,769,Down
101,612,255,1161,69,724,Down
113,609,237,1045,20,678,Down
131,606,218,913,-61,633,Down
159,612,191,815,-126,543,Down
186,622,158,683,-191,452,Down
221,642,120,535,-224,407,Down
248,652,71,403,-224,362,Down
276,669,30,271,-208,135,Down
303,670,-10,90,-208,181,Down
-153,-9,918,57,-93,-45,Down
-151,-11,918,57,-77,-45,Down
-156,-9,921,40,-61,-45,Down
-174,-15,927,24,-61,0,Down
-181,-12,942,24,-77,0,Down
-189,-6,956,7,-93,0,Down
-168,6,978,7,-126,-45,Down
-153,12,995,-8,-126,45,Down
-138,21,999,-8,-110,0,Down
-124,22,1008,-25,-110,0,Down
-138,22,1010,-25,-93,45,Down
-150,25,1026,-25,-77,0,Down
-145,21,1043,-8,-61,0,Down
-135,12,1062,-8,-44,0,Down
-142,1,1068,7,-44,0,Down
-151,-3,1070,7,-44,0,Down
-145,-5,1086,24,-44,0,Down
-148,-5,1089,24,-61,45,Down
-138,0,1083,40,-61,45,Down
-133,-6,1085,57,-44,45,Down
-126,3,1086,73,-44,45,Down
-118,1,1083,73,-28,90,Down
-121,6,1089,90,-28,45,Down
-123,6,1089,90,-44,90,Down
-121,6,1091,106,-44,90,Down
-121,6,1092,123,-61,90,Down
-118,12,1089,123,-77,45,Down
-129,7,1082,139,-93,45,Down
-117,10,1083,156,-110,90,Down
-99,15,1082,156,-110,45,Down
-96,16,1071,172,-93,90,Down
-94,19,1073,172,-77,135,Down
-96,16,1076,189,-77,45,Down
-108,6,1086,205,-61,90,Down
-117,9,1100,205,-61,90,Down
-118,3,1112,222,-61,135,Down
-115,1,1106,254,-61,90,Down
-111,10,1100,254,-77,90,Down
-114,21,1100,271,-77,90,Down
-108,28,1100,287,-77,135,Down
-121,24,1107,304,-77,135,Down
-141,22,1128,320,-77,135,Down
-156,18,1148,337,-77,135,Down
-162,15,1194,370,-77,181,Down
-159,9,1229,419,-77,226,Down
-151,16,1233,452,-77,226,Down
-156,33,1251,502,-77,226,Down
-166,37,1253,551,-77,271,Down
-159,33,1272,600,-77,316,Down
-159,15,1307,666,-61,362,Down
-163,-5,1334,732,-28,362,Down
-174,-8,1331,798,4,407,Down
-195,-9,1329,881,69,452,Down
-205,1,1344,946,118,497,Down
-249,-8,1352,1062,199,543,Down
-295,-3,1337,1161,248,588,Down
-325,22,1344,1243,248,633,Down
-337,33,1322,1325,248,678,Down
-345,60,1256,1424,183,724,Down
-364,102,1242,1507,118,814,Down
-358,117,1178,1572,20,814,Down
-286,156,1127,1638,-28,905,Down
-216,186,1068,1688,-61,859,Down
-153,205,1026,1737,-61,905,Down
-142,202,1031,1787,-44,905,Down
-126,189,953,1820,4,950,Down
-76,223,858,1869,20,905,Down
-69,276,789,1886,4,950,Down
-66,309,690,1886,-12,905,Down
-21,351,579,1853,-44,905,Down
38,414,506,1836,-77,859,Down
75,456,429,1770,-93,814,Down
123,499,387,1704,-93,814,Down
141,513,339,1622,-110,769,Down
165,531,294,1556,-77,724,Down
189,553,260,1441,-93,633,Down
186,562,236,1342,-93,588,Down
186,567,164,1210,-126,588,Down
234,565,86,1095,-191,497,Down
293,580,12,913,-224,362,Down
341,637,-31,765,-208,316,Down
381,700,-57,584,-191,226,Down
416,741,-78,403,-126,181,Down
450,745,-91,205,-77,90,Down
456,736,-115,7,-28,-45,Down
438,718,-180,-206,4,-135,Down
429,712,-259,-420,-12,-271,Down
473,709,-319,-667,-12,-407,Down
483,700,-346,-881,-12,-543,Down
461,669,-345,-1128,-28,-678,Down
-69,49,933,73,-110,0,Down
-75,43,936,73,-93,0,Down
-85,43,935,73,-77,-45,Down
-84,37,945,57,-44,0,Down
-102,30,965,24,-28,135,Down
-133,24,972,40,4,0,Down
-130,25,975,40,-12,0,Down
-117,28,971,24,4,0,Down
-115,37,975,24,4,0,Down
-136,52,990,24,4,0,Down
-154,54,1002,-25,-28,135,Down
-154,55,1023,7,-44,0,Down
-136,55,1040,-25,-61,90,Down
-136,55,1053,7,-44,0,Down
-127,52,1055,-25,-44,90,Down
-118,57,1050,7,-12,0,Down
-121,55,1043,24,4,0,Down
-132,57,1038,24,4,0,Down
-135,51,1040,24,4,0,Down
-130,49,1055,24,4,0,Down
-127,42,1055,-8,-44,-45,Down
-129,37,1056,57,-12,45,Down
-127,40,1058,57,-12,45,Down
-117,43,1056,57,-12,45,Down
-123,51,1047,24,-61,-45,Down
-115,51,1043,73,-12,0,Down
-106,52,1038,73,-28,0,Down
-103,52,1040,73,-28,45,Down
-99,55,1040,90,-28,45,Down
-105,57,1038,40,-61,-45,Down
-108,54,1037,73,-12,45,Down
-117,54,1028,73,-28,45,Down
-109,60,1028,73,-28,0,Down
-109,58,1026,90,-44,-45,Down
-102,55,1022,73,-28,0,Down
-99,54,1022,90,-28,0,Down
-97,45,1025,73,-12,0,Down
-106,40,1025,73,-12,0,Down
-108,33,1031,73,-12,0,Down
-109,40,1028,73,-12,90,Down
-112,31,1026,90,-12,45,Down
-108,33,1032,73,-12,0,Down
-118,40,1034,90,-12,45,Down
-115,42,1028,90,-28,45,Down
-114,46,1026,90,-28,45,Down
-108,48,1023,90,-44,90,Down
-103,49,1019,90,-44,45,Down
-109,43,1014,90,-28,45,Down
-112,43,1011,90,-44,45,Down
-118,31,1013,90,-44,181,Down
-126,28,1011,90,-44,45,Down
-123,31,1005,90,-44,0,Down
-112,34,1001,90,-44,45,Down
-108,42,995,106,-28,90,Down
-109,42,1002,90,-28,0,Down
-120,40,999,90,-28,45,Down
-123,37,1002,90,-28,45,Down
-124,46,1002,90,-28,45,Down
-118,40,999,90,-28,0,Down
-115,42,1001,90,-28,45,Down
-112,45,1001,90,-28,45,Down
-112,51,1008,73,-28,45,Down
-115,45,1010,73,-28,0,Down
-112,48,1014,73,-44,-45,Down
-112,42,1016,73,-28,45,Down
-111,40,1011,73,-28,45,Down
-117,42,1011,73,-28,0,Down
-109,42,1008,73,-44,45,Down
-105,42,1013,73,-44,45,Down
-109,48,1016,73,-44,0,Down
-111,45,1022,73,-28,45,Down
-115,37,1023,73,-44,0,Down
-112,42,1023,90,-28,45,Down
-108,48,1013,73,-44,45,Down
-106,49,1014,73,-28,45,Down
-106,48,1016,73,-28,45,Down
-105,45,1020,73,-28,0,Down
-114,49,1022,73,-28,45,Down
-112,40,1026,90,-28,45,Down
-108,43,1025,73,-44,45,Down
-106,42,1028,73,-28,45,Down
-106,45,1026,73,-44,45,Down
-109,43,1023,73,-28,45,Down
-105,48,1023,90,-28,45,Down
-103,43,1026,73,-44,0,Down
-103,45,1025,73,-44,45,Down
-103,45,1032,73,-44,0,Down
-106,45,1043,73,-44,45,Down
-106,37,1043,73,-44,45,Down
-100,37,1050,73,-44,45,Down
-94,42,1053,90,-44,45,Down
-96,49,1050,90,-44,45,Down
-103,48,1050,106,-44,45,Down
-111,49,1056,106,-44,45,Down
-111,43,1059,106,-61,90,Down
-102,43,1071,106,-77,45,Down
-96,42,1076,106,-77,90,Down
-91,36,1092,123,-77,90,Down
-99,28,1118,139,-77,90,Down
-106,28,1137,156,-77,90,Down
-93,40,1161,156,-93,45,Down
-94,42,1203,205,-77,90,Down
-87,31,1241,238,-77,90,Down
-87,25,1272,304,-77,135,Down
-84,21,1310,353,-77,181,Down
-90,7,1373,403,-77,135,Down
-106,-17,1424,469,-77,181,Down
-103,-36,1455,600,-44,181,Down
-108,-38,1481,683,-28,226,Down
-118,-48,1488,798,-12,181,Down
-133,-56,1493,913,20,226,Down
-169,-60,1503,1012,36,181,Down
-205,-83,1502,1161,69,271,Down
-262,-104,1524,1309,85,316,Down
-303,-125,1523,1457,85,362,Down
-306,-101,1484,1605,85,407,Down
-286,-50,1413,1737,101,452,Down
-279,9,1355,1853,101,497,Down
-309,45,1292,1968,85,588,Down
-307,75,1193,2034,52,588,Down
-255,135,1086,2133,52,633,Down
-225,195,1014,2166,20,633,Down
-228,208,921,2199,-12,633,Down
-177,231,819,2215,-12,678,Down
-112,294,683,2215,-12,678,Down
-36,366,543,2182,-12,678,Down
21,435,420,2116,20,678,Down
56,478,309,2017,52,678,Down
66,522,222,1918,85,678,Down
68,552,156,1787,85,633,Down
71,567,101,1638,118,724,Down
66,576,65,1490,118,633,Down
65,579,50,1342,101,678,Down
78,579,72,1177,69,678,Down
90,580,104,1045,20,678,Down
107,568,129,897,-44,633,Down
125,562,122,765,-77,543,Down
170,583,66,617,-77,452,Down
213,583,11,452,-28,362,Down
254,613,-58,254,36,316,Down
275,646,-132,73,85,271,Down
303,673,-222,-123,101,90,Down
335,699,-313,-387,85,45,Down
369,703,-376,-601,85,-90,Down
416,694,-388,-848,69,-226,Down
443,673,-354,-1063,101,-316,Down
416,625,-282,-1293,118,-362,Down
356,586,-186,-1507,85,-497,Down
270,543,-33,-1722,20,-497,Down
251,507,101,-1886,-44,-633,Down
-162,51,986,123,-44,0,Down
-174,48,977,123,-44,0,Down
-177,43,977,123,-28,0,Down
-187,46,974,123,-12,45,Down
-172,58,981,106,-12,45,Down
-160,76,981,106,-28,45,Down
-148,84,986,90,-28,45,Down
-141,96,1008,90,-28,45,Down
-129,93,1013,90,-12,90,Down
-144,88,1011,73,-12,45,Down
