#agb 130912000 10 1 0

$date 20070801
$interval 10
$var time msec
$var ax short
$var ay short
$var az short
$var gx short
$var gy short
$var gz short

$data
47352790,-294,-18,1032,24,-44,90
47352800,-303,-26,1038,24,-44,135
47352810,-300,-35,1040,24,-61,135
47352820,-304,-30,1044,24,-77,135
47352830,-304,-27,1050,7,-93,90
47352840,-289,-26,1059,7,-126,135
47352850,-282,-30,1070,7,-110,90
47352860,-271,-35,1079,-8,-126,90
47352870,-274,-33,1089,7,-126,135
47352880,-286,-36,1103,-8,-142,135
47352890,-285,-38,1122,-8,-142,135
47352900,-286,-39,1158,-8,-142,181
47352910,-285,-57,1203,-8,-142,181
47352920,-265,-77,1233,-25,-142,181
47352930,-256,-90,1250,-8,-126,226
47352940,-262,-93,1269,7,-110,181
47352950,-307,-120,1289,24,-110,181
47352960,-358,-164,1323,57,-110,226
47352970,-396,-221,1350,106,-142,226
47352980,-409,-269,1359,205,-159,226
47352990,-399,-311,1376,304,-191,271
47353000,-409,-356,1379,436,-175,316
47353010,-399,-390,1364,600,-175,316
47353020,-384,-392,1341,782,-126,407
47353030,-370,-378,1323,979,-61,497
47353040,-403,-372,1353,1144,4,543
47353050,-462,-381,1365,1309,52,588
47353060,-510,-377,1373,1474,69,678
47353070,-520,-332,1368,1655,52,769
47353080,-523,-273,1319,1803,20,814
47353090,-492,-234,1241,1918,-28,859
47353100,-456,-167,1133,2034,-77,905
47353110,-400,-75,1061,2149,-93,995
47353120,-403,-23,980,2199,-93,995
47353130,-337,22,890,2264,-93,1040
47353140,-283,96,789,2314,-110,1086
47353150,-183,166,672,2363,-93,1086
47353160,-93,252,593,2380,-44,1131
47353170,-94,303,494,2347,-28,1131
47353180,-85,345,417,2363,20,1221
47353190,-45,390,329,2330,20,1176
47353200,38,465,245,2297,69,1221
47353210,104,552,179,2231,101,1267
47353220,161,588,122,2149,150,1267
47353230,209,594,65,2067,216,1221
47353240,218,598,3,2001,264,1176
47353250,194,591,-51,1951,297,1176
47353260,183,609,-105,1902,297,1131
47353270,174,633,-147,1836,264,1086
47353280,182,631,-202,1787,232,995
47353290,249,648,-261,1787,216,905
47353300,330,642,-313,1721,183,814
47353310,431,643,-321,1671,199,678
47353320,512,679,-321,1589,248,588
47353330,602,694,-334,1424,297,452
47353340,672,700,-367,1194,281,362
47353350,621,714,-307,749,199,181
47353360,537,735,-196,106,4,-135
47353370,518,790,-93,-700,-273,-497
47353380,576,874,-22,-1623,-517,-995
47353390,698,889,102,-2545,-648,-1402
47353400,732,796,155,-3402,-615,-1764
47353410,680,772,173,-4110,-452,-2036
47353420,635,706,159,-4456,-322,-2353
47353430,551,646,221,-4572,-142,-2398
47353440,219,459,362,-4489,-110,-2353
47353450,-124,430,558,-4308,-126,-2262
47353460,-213,369,534,-4423,-175,-2172
47353470,18,-24,537,-4292,-289,-2126
47353480,-397,-570,567,-4012,-664,-1810
47353490,-936,-1376,875,-3171,-860,-1040
47353500,-1242,-1580,1482,-2117,-762,-497
47353510,-1350,-1205,2014,-1343,-517,-181
47353520,-1212,-686,2014,-881,-256,-90
47353530,-1014,-573,2014,-585,20,-90
47353540,-843,-519,2014,-288,150,-45
47353550,-808,-347,2014,-41,232,45
47353560,-667,-192,1796,172,281,135
47353570,-498,-54,1517,386,313,181
47353580,-471,205,1410,485,216,226
47353590,-435,370,1415,485,134,362
47353600,-307,397,1395,419,36,362
47353610,-252,403,1376,370,-28,226
47353620,-148,313,1289,304,-28,226
47353630,-58,252,1160,271,-12,316
47353640,-34,253,1058,271,-12,271
47353650,-16,241,986,287,4,226
47353660,-12,216,951,304,36,135
47353670,-54,192,932,320,52,90
47353680,-105,177,918,337,52,-45
47353690,-144,174,905,353,36,-45
47353700,-186,165,903,353,20,-135
47353710,-213,141,885,320,4,-90
47353720,-219,133,867,304,4,-90
47353730,-213,147,870,304,20,-90
47353740,-222,145,875,254,36,-90
47353750,-234,159,884,254,69,0
47353760,-237,168,888,222,69,0
47353770,-253,160,894,189,69,45
47353780,-264,174,896,156,52,0
47353790,-267,177,893,123,52,0
47353800,-268,178,896,106,36,-45
47353810,-261,171,902,73,20,0
47353820,-264,162,900,57,4,0
47353830,-256,169,908,40,-12,-45
47353840,-247,174,926,24,-12,0
47353850,-253,175,929,-8,-28,0
47353860,-244,181,945,-8,-12,-45
47353870,-237,186,953,-41,-12,0
47353880,-238,189,971,-25,20,0
47353890,-243,189,975,-58,20,0
47353900,-244,190,989,-41,36,0
47353910,-247,189,998,-41,36,0
47353920,-267,181,1002,-41,20,-45
47353930,-267,177,1001,-41,4,0
47353940,-267,177,999,-25,-28,0
47353950,-267,178,1002,-25,-28,0
47353960,-261,178,998,-8,-44,0
47353970,-255,180,999,7,-28,0
47353980,-249,183,1008,24,-12,-45
47353990,-249,181,1004,7,-12,0
47354000,-252,178,1008,7,4,0
47354010,-256,174,1008,7,4,45
47354020,-255,166,1001,7,4,45
