@relation 1811teachset2-weka.filters.unsupervised.attribute.Remove-R1

@attribute ' ax' numeric
@attribute ' ay' numeric
@attribute ' az' numeric
@attribute ' gx' numeric
@attribute ' gy' numeric
@attribute ' gz' numeric
@attribute ' gesture' {Down,Idle,Left,LRollL,LRollR,Right,RollL,RollR,Up}

@data
-147,312,914,353,-28,181,Down
-148,321,908,353,-28,181,Down
-156,318,911,320,-61,135,Down
-165,318,902,337,-44,181,Down
-156,321,921,320,-61,181,Down
-162,325,932,304,-77,135,Down
-154,316,918,287,-77,181,Down
-145,328,908,287,-77,226,Down
-150,337,893,287,-77,135,Down
-145,349,885,271,-61,135,Down
-141,360,887,254,-44,135,Down
-136,361,896,254,-44,135,Down
-144,357,908,238,-44,135,Down
-147,352,914,238,-44,135,Down
-145,357,920,238,-28,226,Down
-144,361,926,222,-44,135,Down
-147,366,942,222,-44,135,Down
-153,360,948,222,-44,271,Down
-150,370,956,238,-44,135,Down
-147,382,953,205,-61,226,Down
-147,391,944,238,-44,181,Down
-150,396,942,222,-44,181,Down
-144,394,948,205,-61,135,Down
-148,390,960,222,-44,181,Down
-145,396,965,238,-61,90,Down
-141,394,974,238,-28,181,Down
-141,402,990,254,-44,90,Down
-141,408,986,254,-44,226,Down
-148,423,980,287,-28,135,Down
-144,441,972,271,-44,181,Down
-136,444,965,320,-28,181,Down
-142,439,974,304,-77,90,Down
-136,430,977,337,-44,181,Down
-132,433,989,353,-44,181,Down
-133,445,989,353,-44,135,Down
-127,450,989,386,-28,181,Down
-130,463,996,403,-44,181,Down
-135,477,1002,419,-44,226,Down
-147,475,1022,436,-61,181,Down
-154,468,1038,452,-77,226,Down
-160,453,1067,485,-110,226,Down
-174,444,1079,518,-126,226,Down
-165,439,1091,568,-126,226,Down
-171,435,1109,617,-142,226,Down
-180,432,1101,666,-142,271,Down
-184,429,1109,732,-142,271,Down
-208,423,1118,798,-142,316,Down
-193,415,1085,848,-126,316,Down
-162,415,1071,913,-93,316,Down
-177,420,1019,979,-44,362,Down
-175,439,972,1045,4,362,Down
-199,477,959,1095,20,407,Down
-226,492,936,1144,36,452,Down
-217,508,905,1177,36,452,Down
-195,538,852,1227,36,452,Down
-153,553,789,1243,69,452,Down
-138,574,759,1259,85,497,Down
-153,582,689,1259,101,543,Down
-109,606,611,1259,118,543,Down
-75,649,528,1227,150,543,Down
-49,681,452,1194,167,543,Down
-24,693,384,1128,183,588,Down
2,714,324,1045,199,588,Down
23,724,272,963,199,543,Down
35,727,233,864,199,543,Down
53,726,191,765,183,497,Down
68,732,176,666,167,452,Down
83,724,161,535,134,407,Down
86,717,158,419,118,362,Down
107,706,134,320,85,271,Down
-130,225,1055,40,-126,90,Down
-135,177,1043,40,-110,90,Down
-160,117,1028,40,-126,181,Down
-184,57,1007,40,-159,135,Down
-181,24,999,40,-175,135,Down
-166,31,978,73,-191,135,Down
-145,43,956,90,-175,181,Down
-162,61,941,106,-159,90,Down
-172,88,944,123,-142,135,Down
-186,103,954,123,-110,90,Down
-211,115,954,123,-110,135,Down
-216,118,947,139,-93,90,Down
-201,138,936,106,-93,45,Down
-198,148,947,123,-61,90,Down
-222,139,957,106,-61,135,Down
-232,129,957,90,-93,45,Down
-225,127,945,73,-77,135,Down
-211,127,942,73,-61,90,Down
-202,139,954,57,-61,45,Down
-214,133,974,57,-44,90,Down
-234,127,987,57,-44,135,Down
-226,126,986,40,-44,135,Down
-219,130,993,40,-61,45,Down
-225,132,999,40,-44,135,Down
-223,129,998,40,-61,135,Down
-205,129,1001,24,-61,135,Down
-196,136,999,40,-44,45,Down
-201,141,1001,24,-44,181,Down
-202,142,1001,40,-44,45,Down
-192,150,999,40,-44,181,Down
-192,156,1007,40,-44,135,Down
-190,150,1020,57,-28,90,Down
-201,142,1023,40,-44,226,Down
-193,138,1020,40,-44,90,Down
-180,141,1020,40,-61,181,Down
-177,148,1022,57,-44,90,Down
-180,136,1017,40,-61,90,Down
-178,130,1010,73,-44,90,Down
-174,138,1008,73,-44,90,Down
-184,133,1011,40,-44,90,Down
