@relation readyfile-weka.filters.unsupervised.attribute.Remove-R1

@attribute ax numeric
@attribute ay numeric
@attribute az numeric
@attribute gx numeric
@attribute gy numeric
@attribute gz numeric
@attribute Idle {Down,Idle,Up,Right,Left}

@data
-193,-300,146,-2183,-338,1176,Down
-196,-326,54,-2100,-338,1221,Down
-166,-281,239,-2216,-240,1267,Down
366,-185,1181,156,36,90,Down
395,-195,1241,123,52,90,Down
335,-153,1080,189,36,45,Down
341,-168,1119,172,36,90,Down
380,-204,1344,57,134,181,Down
387,-209,1403,7,150,181,Down
396,-200,1289,90,85,135,Down
314,-128,969,189,101,0,Down
312,-138,987,189,118,0,Down
302,-122,953,189,85,45,Down
311,-128,957,189,85,0,Down
312,-137,1022,189,101,0,Down
312,-147,1049,189,69,45,Down
311,-138,1004,189,118,0,Down
492,-171,1604,-815,199,633,Down
507,-158,1584,-947,216,633,Down
474,-183,1634,-634,167,543,Down
486,-177,1625,-733,167,543,Down
548,-132,1505,-1112,330,769,Down
563,-122,1451,-1194,395,859,Down
522,-146,1547,-1013,281,724,Down
414,-191,1515,-140,199,226,Down
411,-188,1548,-239,199,316,Down
402,-203,1464,-74,183,226,Down
437,-179,1623,-420,199,407,Down
449,-188,1625,-535,167,497,Down
423,-191,1593,-338,199,362,Down
-121,-353,-1,-1293,216,1040,Down
-142,-356,-36,-1194,216,1040,Down
-102,-356,51,-1491,167,1267,Down
-109,-351,33,-1392,199,1176,Down
-202,-366,-117,-980,199,814,Down
-240,-374,-166,-865,150,678,Down
-168,-354,-75,-1079,232,905,Down
-69,-365,173,-1952,85,1493,Down
-94,-372,128,-1870,85,1402,Down
24,-330,321,-2100,85,1583,Down
-27,-350,242,-2035,85,1538,Down
-102,-368,75,-1672,134,1312,Down
-103,-360,66,-1573,150,1267,Down
-99,-371,96,-1771,118,1357,Down
219,-111,867,90,134,45,Down
233,-90,858,73,101,0,Down
213,-137,908,73,150,90,Down
209,-126,881,90,150,90,Down
269,-54,851,73,52,0,Down
287,-48,843,90,4,-45,Down
260,-69,855,73,85,0,Down
-327,-417,-280,-585,36,497,Down
-366,-450,-331,-420,-44,407,Down
-282,-392,-222,-749,101,588,Down
227,-159,963,73,134,135,Down
209,-152,942,73,134,90,Down
-382,-494,-415,-239,-126,271,Down
590,-98,1599,-700,-93,497,Down
611,-75,1596,-815,-93,588,Down
515,-114,1548,-453,-93,407,Down
546,-119,1578,-568,-93,452,Down
644,-54,1595,-1095,-93,769,Down
672,-33,1590,-1244,-110,905,Down
633,-63,1593,-947,-77,633,Down
390,-119,1260,-41,118,226,Down
408,-110,1322,-107,85,226,Down
392,-128,1173,57,167,181,Down
383,-123,1209,7,150,181,Down
447,-110,1452,-255,4,316,Down
482,-107,1517,-338,-44,316,Down
431,-110,1383,-173,52,271,Down
443,-201,905,-2199,69,1583,Down
374,-221,785,-2232,85,1629,Down
605,-153,1119,-2100,20,1493,Down
515,-177,1013,-2133,52,1538,Down
168,-285,513,-2199,85,1629,Down
77,-318,420,-2166,85,1583,Down
276,-240,645,-2232,101,1674,Down
759,-15,1517,-1540,-126,1086,Down
779,-39,1467,-1672,-110,1267,Down
737,-8,1553,-1392,-126,995,Down
714,-98,1317,-1903,-44,1402,Down
651,-128,1230,-2018,-12,1538,Down
767,-60,1406,-1804,-77,1312,Down
381,-384,1260,-354,69,497,Down
411,-405,1266,-387,101,543,Down
374,-311,1287,-321,69,407,Down
362,-342,1265,-338,52,452,Down
450,-378,1323,-436,248,678,Down
444,-357,1358,-469,313,678,Down
434,-398,1293,-404,167,588,Down
381,-215,1233,-140,118,271,Down
384,-222,1251,-156,134,316,Down
395,-207,1196,-58,101,271,Down
398,-210,1215,-107,118,271,Down
372,-254,1289,-255,118,407,Down
380,-281,1299,-288,101,362,Down
380,-230,1275,-222,118,316,Down
446,-20,1346,-1326,248,859,Down
447,3,1313,-1458,150,859,Down
401,-81,1338,-1079,362,769,Down
420,-48,1344,-1211,297,814,Down
461,28,1214,-1705,20,995,Down
462,27,1107,-1820,-44,1131,Down
426,12,1269,-1590,85,1040,Down
450,-296,1380,-601,411,724,Down
419,-266,1368,-684,460,769,Down
450,-326,1397,-535,362,769,Down
395,-173,1323,-865,460,814,Down
395,-129,1326,-947,411,769,Down
395,-213,1340,-749,477,769,Down
345,-119,933,172,4,-45,Down
365,-110,954,172,-12,-45,Down
332,-113,881,172,36,0,Down
335,-110,906,172,20,-45,Down
393,-105,987,156,-12,-90,Down
399,-107,996,156,-12,0,Down
386,-105,971,156,-28,-45,Down
341,-57,827,90,-12,0,Down
345,-74,836,123,4,0,Down
318,-51,834,90,-28,0,Down
347,-93,845,156,52,0,Down
339,-99,858,172,52,0,Down
347,-84,845,139,20,0,Down
408,-161,1106,40,20,181,Down
396,-177,1119,24,36,135,Down
407,-152,1067,90,-28,135,Down
410,-164,1082,73,4,135,Down
407,-194,1170,-8,85,226,Down
405,-194,1184,-41,85,226,Down
401,-194,1143,7,52,135,Down
381,-128,1020,156,-12,-45,Down
387,-138,1023,139,-28,0,Down
390,-117,1013,156,-12,-90,Down
392,-149,1040,123,-44,90,Down
402,-153,1053,106,-44,90,Down
386,-144,1029,123,-44,45,Down
299,123,992,139,-44,0,Down
306,121,1007,139,-44,0,Down
293,129,978,139,-44,45,Down
311,118,1026,139,-77,0,Down
314,120,1020,156,-44,0,Down
255,139,956,139,4,90,Down
252,136,957,139,4,45,Down
272,133,965,139,-12,45,Down
258,133,959,139,-12,45,Down
213,127,983,156,-305,-45,Down
212,120,989,156,-289,-45,Down
206,133,1004,139,-273,0,Down
206,130,992,172,-273,0,Down
275,123,1023,156,-191,0,Down
303,121,1022,156,-126,0,Down
216,118,1010,172,-289,-45,Down
236,120,1019,156,-256,0,Down
264,147,969,123,20,90,Down
261,136,968,123,20,45,Down
273,145,966,123,20,90,Down
270,144,966,123,20,45,Down
264,147,977,123,4,90,Down
263,154,977,123,4,90,Down
263,139,969,123,20,90,Down
264,141,972,123,20,45,Down
267,148,956,123,4,45,Down
269,150,962,123,4,45,Down
258,144,951,139,4,45,Down
269,145,953,123,4,45,Down
273,153,968,123,4,90,Down
261,150,971,123,4,90,Down
275,154,965,123,4,90,Down
281,151,969,123,20,45,Down
230,30,1008,90,-175,-135,Down
243,33,998,90,-191,-135,Down
227,36,1032,106,-126,-90,Down
227,31,1019,90,-159,-135,Down
266,24,941,106,-126,-90,Down
251,30,924,123,-110,-90,Down
260,33,990,90,-191,-90,Down
264,30,969,90,-159,-90,Down
239,54,1055,139,-142,-181,Down
239,48,1061,106,-126,-181,Down
198,43,989,123,-142,-135,Down
225,54,1011,123,-142,-181,Down
249,39,1059,106,-93,-90,Down
237,33,1046,106,-110,-181,Down
246,46,1085,123,-110,-181,Down
255,51,1074,106,-110,-181,Down
263,118,1026,189,-93,0,Down
255,124,1020,189,-110,-45,Down
260,106,1016,222,-61,-45,Down
263,114,1017,189,-93,-90,Down
201,133,1029,156,-175,0,Down
204,142,1017,123,-224,0,Down
228,127,1011,172,-110,0,Down
236,132,1022,156,-126,-45,Down
234,39,896,189,-93,-90,Down
255,42,909,205,-77,0,Down
245,24,899,156,-93,-90,Down
245,34,885,172,-110,-90,Down
269,82,968,238,-28,-45,Down
249,100,998,222,-44,-45,Down
276,58,921,222,-61,-45,Down
290,76,938,222,-44,-45,Down
264,147,968,90,-12,45,Down
266,148,966,90,-28,0,Down
267,151,968,90,-12,45,Down
269,151,966,73,-12,0,Down
270,150,966,90,4,45,Down
276,148,966,90,-12,45,Down
272,153,965,90,4,45,Down
264,144,965,90,-12,45,Down
263,150,969,90,-12,45,Down
267,148,966,90,4,45,Down
269,151,966,73,-12,45,Down
267,147,968,90,4,45,Down
272,148,965,90,-12,45,Down
272,156,966,90,4,45,Down
276,148,971,73,-12,0,Down
272,148,968,90,-12,45,Down
273,145,963,73,-12,45,Down
275,148,965,73,-28,45,Down
269,148,963,90,-12,90,Down
261,150,971,90,-12,45,Down
264,150,968,90,-12,45,Down
272,151,966,90,-12,0,Down
264,150,968,73,-12,90,Down
279,147,966,57,-28,45,Down
275,151,966,90,-12,90,Down
267,150,969,90,4,45,Down
267,145,968,90,4,45,Down
272,147,966,90,4,0,Down
269,151,968,90,-12,45,Down
267,147,971,90,-12,45,Down
263,144,971,73,-12,90,Down
261,150,969,90,4,45,Down
269,147,966,90,4,90,Down
266,145,965,90,-28,45,Down
272,147,969,90,-28,45,Down
264,145,969,90,-28,45,Down
266,144,971,90,-28,45,Down
272,147,968,90,-28,45,Down
267,142,968,90,-12,0,Down
267,144,966,90,-28,45,Down
267,144,968,90,-12,45,Down
263,145,965,106,-12,90,Down
267,144,960,90,-12,45,Down
267,148,977,106,-12,90,Down
263,150,975,106,-28,45,Down
267,144,966,106,-12,0,Down
266,147,971,90,-28,45,Down
263,145,966,106,-12,45,Down
269,144,968,90,-12,45,Down
272,145,975,90,-12,45,Down
267,151,972,73,-28,0,Down
270,147,968,90,-12,0,Down
270,147,971,90,-12,45,Down
267,147,965,90,-28,0,Down
272,154,965,90,-12,45,Down
272,148,972,106,-12,45,Down
272,147,969,90,-12,45,Down
263,147,971,90,-12,45,Down
264,145,971,90,-28,0,Down
266,147,969,90,-12,45,Down
264,144,968,90,-28,45,Down
270,142,969,106,-12,0,Down
270,153,972,90,-28,45,Down
269,145,969,90,-28,0,Down
266,145,969,90,-28,90,Down
194,117,995,24,-159,45,Down
197,117,996,24,-159,0,Down
209,120,1001,24,-142,45,Down
173,120,1004,40,-126,45,Down
183,117,992,40,-142,0,Down
257,114,969,7,-93,45,Down
248,117,978,7,-61,45,Down
225,115,993,7,-142,45,Down
242,108,981,7,-110,90,Down
174,111,1010,90,-12,45,Down
173,111,1011,73,-28,90,Down
180,103,1004,90,-12,45,Down
173,111,1011,57,-28,0,Down
179,106,1007,57,-93,45,Down
188,115,1010,57,-110,45,Down
177,117,1013,73,-44,90,Down
176,108,1005,57,-77,45,Down
207,190,1055,-123,-93,0,Down
200,193,1055,-107,-93,-45,Down
218,189,1035,-74,-77,-45,Down
210,184,1044,-90,-77,45,Down
192,168,1041,-140,-77,-45,Down
179,160,1040,-156,-93,-135,Down
203,183,1055,-140,-110,-45,Down
209,177,1037,-123,-93,-45,Down
209,120,995,7,-28,45,Down
210,123,1007,-8,-28,90,Down
240,117,978,7,-28,45,Down
221,121,992,-8,-28,90,Down
219,184,1026,-25,-28,90,Down
195,183,1040,-58,-61,0,Down
230,133,1016,-41,-61,45,Down
252,156,1043,-25,-44,135,Down
191,117,995,73,4,45,Down
189,121,993,90,4,45,Down
189,114,993,90,4,45,Down
189,118,996,90,4,45,Down
192,117,989,90,-12,45,Down
194,118,993,73,-12,90,Down
192,121,992,90,4,45,Down
191,115,995,90,-12,90,Down
191,115,989,73,4,45,Down
189,117,995,73,4,90,Down
195,114,995,73,4,45,Down
198,114,995,90,4,45,Down
186,112,995,90,4,45,Down
189,115,993,73,-12,45,Down
189,112,1002,90,4,45,Down
189,108,993,90,20,45,Down
180,111,992,73,-12,90,Down
180,112,992,73,4,45,Down
182,115,993,90,4,45,Down
185,115,1004,90,4,0,Down
186,117,996,73,4,45,Down
186,108,993,57,-12,45,Down
188,114,996,73,4,45,Down
192,115,996,73,4,45,Down
185,109,992,90,4,45,Down
192,111,1001,73,4,45,Down
194,111,993,73,4,45,Down
189,117,995,73,-12,45,Down
191,114,986,73,4,45,Down
185,118,987,73,4,45,Down
189,112,993,90,20,45,Down
191,115,987,90,4,0,Down
195,-9,942,172,52,-181,Down
191,-3,933,172,52,-271,Down
215,-8,962,189,52,-226,Down
195,9,936,156,85,-226,Down
186,-2,935,172,69,-271,Down
191,16,983,205,85,-226,Down
182,19,986,205,85,-226,Down
207,7,975,205,52,-226,Down
201,13,977,205,85,-226,Down
218,-26,915,90,101,-271,Down
212,-23,911,106,101,-271,Down
228,-23,927,73,101,-271,Down
222,-24,924,90,118,-271,Down
216,-2,942,156,101,-271,Down
207,10,947,156,85,-271,Down
216,-17,926,123,101,-271,Down
218,-6,933,139,101,-271,Down
197,54,1014,139,-12,-181,Down
192,54,1008,139,-28,-181,Down
195,52,1020,156,-12,-135,Down
200,52,1022,139,-28,-226,Down
198,54,1010,123,-77,-181,Down
204,49,989,123,-110,-135,Down
191,55,1014,139,-44,-181,Down
197,57,1019,123,-61,-135,Down
186,19,990,189,36,-181,Down
194,24,996,189,20,-181,Down
186,19,983,205,69,-226,Down
188,24,989,189,52,-135,Down
186,42,1016,172,4,-226,Down
195,40,1019,156,-12,-226,Down
191,25,998,172,4,-271,Down
183,33,1011,172,4,-181,Down
177,75,992,-156,-28,-135,Down
183,64,992,-140,-12,-181,Down
165,91,993,-156,-44,-135,Down
170,81,993,-156,-44,-135,Down
176,22,971,-107,4,-226,Down
186,7,965,-107,4,-226,Down
180,51,984,-123,4,-181,Down
174,37,981,-123,4,-181,Down
170,145,1034,-156,-61,-90,Down
168,144,1023,-156,-44,-135,Down
171,157,1040,-156,-77,-90,Down
168,147,1037,-156,-61,-45,Down
162,115,1001,-173,-28,-90,Down
165,97,995,-156,-44,-135,Down
159,135,1023,-156,-44,-90,Down
162,129,1013,-173,-28,-90,Down
225,-44,936,40,101,-271,Down
228,-41,935,40,101,-271,Down
221,-56,930,7,85,-271,Down
219,-53,929,24,101,-271,Down
225,-27,926,57,101,-271,Down
231,-26,926,57,101,-271,Down
225,-39,933,40,101,-271,Down
230,-32,929,57,101,-226,Down
206,-26,954,-74,20,-226,Down
212,-39,950,-58,20,-271,Down
200,-2,960,-107,20,-226,Down
207,-17,954,-90,20,-226,Down
215,-57,936,-25,69,-316,Down
224,-56,935,-8,85,-316,Down
206,-50,950,-41,36,-271,Down
209,-56,944,-41,52,-271,Down
