@relation teachset-weka.filters.unsupervised.attribute.Remove-R1

@attribute ax numeric
@attribute ay numeric
@attribute az numeric
@attribute gx numeric
@attribute gy numeric
@attribute gz numeric
@attribute Idle {Down,Idle,Up,Right,Left}

@data
203,18,972,139,101,-497,Down
207,39,960,139,101,-497,Down
137,16,944,90,134,-497,Down
152,21,914,106,118,-497,Down
120,31,965,106,150,-633,Down
171,25,899,123,150,-588,Down
170,18,912,139,150,-588,Down
168,31,902,106,118,-588,Down
158,34,960,139,20,-362,Down
162,36,962,139,4,-362,Down
170,31,963,139,36,-407,Down
144,37,975,139,-28,-362,Down
132,33,977,139,-44,-316,Down
158,40,963,123,-12,-362,Down
197,21,990,139,69,-452,Down
203,30,986,139,52,-407,Down
203,12,978,139,69,-452,Down
177,28,969,139,36,-407,Down
183,28,981,139,52,-407,Down
138,57,1013,172,167,-452,Down
141,58,1016,172,199,-497,Down
137,60,1022,189,167,-452,Down
126,58,1007,172,248,-497,Down
128,58,1014,156,232,-497,Down
134,61,1008,172,216,-497,Down
141,54,986,172,134,-407,Down
147,48,993,172,150,-407,Down
138,55,992,172,134,-407,Down
140,63,1014,189,150,-407,Down
152,57,1010,189,150,-452,Down
138,48,1017,139,216,-543,Down
134,51,1014,106,183,-588,Down
132,48,1011,139,216,-588,Down
138,43,1020,90,167,-588,Down
150,51,983,106,167,-633,Down
135,48,1014,156,216,-497,Down
120,46,1017,172,248,-452,Down
116,52,1020,156,216,-543,Down
119,54,1011,156,232,-543,Down
128,54,1010,156,216,-543,Down
122,55,1019,156,216,-497,Down
87,193,1031,73,-77,-497,Down
77,193,1014,73,-93,-452,Down
90,186,1038,106,-77,-452,Down
78,184,990,40,-110,-497,Down
72,177,984,40,-110,-497,Down
74,193,1001,57,-110,-497,Down
86,141,1043,156,-77,-497,Down
81,151,1046,139,-77,-497,Down
92,135,1040,156,-93,-452,Down
83,168,1049,139,-61,-452,Down
77,175,1049,106,-93,-497,Down
83,165,1044,156,-61,-497,Down
77,208,968,73,-93,-497,Down
71,216,975,57,-110,-543,Down
104,198,965,57,-110,-543,Down
102,208,962,57,-142,-452,Down
108,205,960,73,-159,-588,Down
83,213,971,57,-142,-543,Down
87,195,977,40,-110,-497,Down
72,195,975,40,-110,-543,Down
86,183,983,40,-93,-543,Down
90,193,968,40,-110,-543,Down
71,192,969,40,-110,-543,Down
93,75,978,172,-61,-362,Down
87,87,981,172,-77,-362,Down
89,67,980,156,-44,-362,Down
81,108,980,189,-93,-362,Down
90,112,989,189,-110,-362,Down
80,100,977,189,-93,-362,Down
138,45,978,139,-61,-316,Down
132,49,984,139,-61,-316,Down
138,39,980,123,-61,-316,Down
99,60,980,156,-44,-362,Down
125,57,984,156,-44,-316,Down
81,133,1013,172,-126,-407,Down
86,132,1026,156,-126,-452,Down
75,132,1011,172,-110,-407,Down
86,142,1031,156,-110,-452,Down
92,138,1037,156,-93,-497,Down
89,136,1029,156,-110,-452,Down
87,130,1010,205,-93,-362,Down
83,142,1017,189,-93,-362,Down
90,120,995,205,-110,-407,Down
71,138,1010,189,-110,-407,Down
72,144,1010,189,-110,-362,Down
84,102,983,123,52,135,Down
69,90,975,90,36,181,Down
87,108,986,106,52,135,Down
69,100,971,73,36,181,Down
71,88,963,90,36,135,Down
74,109,972,156,118,135,Down
71,120,969,156,101,135,Down
77,112,971,139,85,135,Down
72,111,972,123,85,90,Down
102,117,1029,90,85,181,Down
110,126,1037,90,85,135,Down
83,117,1026,90,85,226,Down
128,109,1044,90,52,181,Down
116,120,1047,90,69,226,Down
77,121,996,73,52,181,Down
66,106,983,73,20,90,Down
74,115,1022,73,69,135,Down
77,123,1013,90,69,181,Down
57,162,996,222,118,135,Down
60,151,980,222,118,135,Down
65,174,1008,222,101,135,Down
74,144,966,205,134,135,Down
65,145,971,205,134,135,Down
60,154,1005,189,101,135,Down
60,153,1022,189,101,135,Down
68,175,1002,205,101,135,Down
66,163,1010,189,101,135,Down
57,120,966,172,85,135,Down
66,126,963,172,85,135,Down
69,123,966,156,118,135,Down
54,120,965,172,101,135,Down
83,138,969,189,118,135,Down
80,144,972,205,134,135,Down
77,130,969,189,85,135,Down
87,133,969,189,101,135,Down
123,154,992,73,-28,135,Down
128,157,984,73,-44,135,Down
122,156,990,90,-28,135,Down
72,159,972,73,4,90,Down
119,162,984,73,-44,135,Down
116,150,986,73,-61,135,Down
117,144,981,57,-77,181,Down
116,154,987,40,-61,45,Down
113,151,990,73,-44,135,Down
98,168,986,73,-44,90,Down
110,162,980,73,-61,181,Down
93,166,986,73,-28,90,Down
98,165,986,73,-44,90,Down
105,163,983,73,-44,226,Down
83,160,971,73,-12,90,Down
80,165,969,73,-12,90,Down
92,169,977,73,-28,90,Down
81,162,977,73,-12,90,Down
89,102,1010,73,52,181,Down
86,106,1022,73,20,181,Down
84,106,1013,57,52,181,Down
107,112,1035,90,4,135,Down
98,109,1031,90,20,181,Down
126,127,1014,90,36,181,Down
149,115,1010,90,-12,181,Down
99,124,1016,73,69,181,Down
113,136,1017,73,36,181,Down
146,142,996,73,-77,181,Down
146,133,998,90,-77,181,Down
123,142,989,73,-93,135,Down
138,141,989,73,-93,135,Down
170,114,1005,73,-61,135,Down
120,105,1041,90,20,226,Down
141,132,1005,57,-93,135,Down
149,124,1007,73,-61,181,Down
83,-245,906,-239,36,0,Idle
167,-213,945,-255,52,-45,Idle
-3,-257,879,-206,36,0,Idle
375,-263,1031,-288,101,-226,Idle
258,-221,996,-255,69,-135,Idle
-276,-128,965,73,-28,-135,Idle
-283,-128,965,57,-44,-226,Idle
-253,-131,969,57,-44,-90,Idle
-268,-129,968,57,-44,-135,Idle
-391,-83,929,189,-77,-588,Idle
-400,-80,926,222,-61,-588,Idle
-360,-92,936,172,-61,-452,Idle
-376,-83,941,172,-77,-543,Idle
-444,-48,909,271,-44,-814,Idle
-450,-47,906,271,-44,-814,Idle
-414,-72,924,222,-61,-678,Idle
-424,-57,923,238,-44,-769,Idle
-307,-108,966,106,-61,-226,Idle
-316,-110,963,106,-77,-316,Idle
-291,-125,963,106,-28,-181,Idle
-300,-111,965,90,-61,-226,Idle
-330,-102,942,139,-77,-407,Idle
-345,-101,942,156,-61,-452,Idle
-307,-110,954,123,-77,-316,Idle
-315,-110,950,123,-77,-362,Idle
60,147,1239,1012,346,-316,Idle
83,147,1187,1029,330,-271,Idle
48,135,1319,996,330,-226,Idle
2020,135,1379,-997,-860,-1131,Idle
102,130,1131,1029,264,-316,Idle
-28,211,1685,930,101,-90,Idle
-132,267,1844,848,20,0,Idle
39,130,1442,979,281,-135,Idle
6,160,1547,963,183,-135,Idle
549,-489,731,-288,264,135,Idle
723,-486,746,-354,297,90,Idle
354,-488,726,-107,264,271,Idle
450,-503,726,-189,248,226,Idle
1733,-407,981,-799,-93,-588,Idle
2020,-213,1166,-947,-468,-814,Idle
984,-486,756,-469,264,-181,Idle
1335,-486,836,-618,150,-362,Idle
1829,649,1772,-239,-1431,-1493,Idle
1517,1053,1986,90,-1692,-1900,Idle
1896,328,1539,-469,-893,-1131,Idle
1379,2005,2014,1408,-893,-2715,Idle
1422,1524,2014,633,-1414,-2353,Idle
731,-257,1136,-502,118,-588,Idle
