"[-16.916168, -148.554871]","[-19.916168, -150.554871]","[-30.916168, -142.554871]"
"[-16.916168, -148.554871]","[-30.916168, -142.554871]","[-24.916168, -137.554871]"
"[-5.916168, -140.554871]","[-16.916168, -148.554871]","[-24.916168, -137.554871]"
"[-5.916168, -140.554871]","[-24.916168, -137.554871]","[-10.918161, -129.555466]"
"[-36.916168, -146.554871]","[-30.916168, -142.554871]","[-19.916168, -150.554871]"
"[-36.916168, -146.554871]","[-19.916168, -150.554871]","[-16.916168, -156.554871]"
"[-16.916168, -156.554871]","[-12.571748, -161.848495]","[-33.916168, -176.554871]"
"[-16.916168, -156.554871]","[-33.916168, -176.554871]","[-35.916168, -175.554871]"
"[-16.916168, -156.554871]","[-35.916168, -175.554871]","[-36.916168, -146.554871]"
"[-7.916168, -144.554871]","[-0.916168, -154.554871]","[-7.916168, -157.554871]"
"[-7.916168, -144.554871]","[-7.916168, -157.554871]","[-13.916168, -148.554871]"
"[-0.916168, -154.554871]","[5.083832, -151.554871]","[10.169111, -162.869293]"
"[-0.916168, -154.554871]","[10.169111, -162.869293]","[-6.916168, -174.554871]"
"[-0.916168, -154.554871]","[-6.916168, -174.554871]","[-12.571748, -161.848495]"
"[-86.417267, -132.077789]","[-80.916115, -129.554779]","[-76.916168, -131.554871]"
"[-86.417267, -132.077789]","[-76.916168, -131.554871]","[-74.916168, -149.554871]"
"[-86.417267, -132.077789]","[-74.916168, -149.554871]","[-80.916168, -141.554871]"
"[-74.916168, -149.554871]","[-76.916168, -131.554871]","[-76.916168, -127.554871]"
"[-54.916168, -123.554871]","[-38.971165, -146.554703]","[-63.916168, -166.554871]"
"[-54.916168, -123.554871]","[-63.916168, -166.554871]","[-74.916168, -149.554871]"
"[-54.916168, -123.554871]","[-74.916168, -149.554871]","[-76.916168, -127.554871]"
"[-63.916168, -166.554871]","[-69.916176, -158.554871]","[-74.916168, -149.554871]"
"[-54.916168, -123.554871]","[-50.883377, -128.592575]","[-38.971165, -146.554703]"
"[10.083832, -127.554871]","[9.083832, -125.554871]","[9.981201, -122.568871]"
"[10.083832, -127.554871]","[9.981201, -122.568871]","[12.083832, -120.554871]"
"[47.083832, -129.554871]","[48.252895, -135.613754]","[39.62994, -141.322449]"
"[47.083832, -129.554871]","[39.62994, -141.322449]","[42.083832, -126.554871]"
"[25.083832, -153.554871]","[30.065619, -107.270576]","[39.62994, -141.322449]"
"[30.065619, -107.270576]","[42.083832, -126.554871]","[39.62994, -141.322449]"
"[13.539921, -160.124786]","[10.169111, -162.869293]","[5.083832, -151.554871]"
"[13.539921, -160.124786]","[5.083832, -151.554871]","[25.083832, -153.554871]"
"[7.083832, -126.554871]","[8.083832, -128.554871]","[7.083832, -130.554871]"
